perioda	phase	group
1.7	3.211737442	3.1896767212
1.8	3.2130765739	3.1886011766
1.9	3.2144791373	3.1874559689
2	3.2159433998	3.1863468452
2.1	3.2174692131	3.1851355219
2.2	3.2190545108	3.1839438798
2.3	3.2206987658	3.1826926754
2.4	3.2224008586	3.1813875717
2.5	3.22415879	3.1801360481
2.6	3.2259726801	3.1787999775
2.7	3.2278408217	3.1774542494
2.8	3.2297616367	3.1761676114
2.9	3.2317354082	3.1747879649
3	3.2337604252	3.1734032423
3.1	3.2358359005	3.1719956033
3.2	3.2379604008	3.1706172597
3.3	3.2401337486	3.1691927662
3.4	3.2423538865	3.1678424135
3.5	3.2446219961	3.1663581423
3.6	3.2469348861	3.1649780176
3.7	3.2492936436	3.163511552
3.8	3.2516963585	3.162061966
3.9	3.2541422185	3.160656095
4	3.2566310965	3.1592067644
4.1	3.2591616568	3.1578070654
4.2	3.2617337752	3.1563564138
4.3	3.2643461315	3.1549595879
4.4	3.2669986067	3.1535267963
4.5	3.269690591	3.1520546355
4.6	3.2724207079	3.1506571168
4.7	3.2751888022	3.1492639494
4.8	3.2779949153	3.1477784736
4.9	3.2808370293	3.1464178561
5	3.2837156576	3.1450202264
5.1	3.2866301746	3.1435990235
5.2	3.2895799161	3.1421697786
5.3	3.292563417	3.1408825962
5.4	3.2955819657	3.1394586532
5.5	3.2986335941	3.1381245637
5.6	3.3017189408	3.13671359
5.7	3.3048366677	3.1353541781
5.8	3.3079867265	3.1339869138
5.9	3.3111684122	3.1326479438
6	3.3143809592	3.1313802288
6.1	3.3176250631	3.1300323638
6.2	3.3208993694	3.1287299724
6.3	3.3242038517	3.1274221626
6.4	3.327537798	3.1261480304
6.5	3.3309004396	3.1249517452
6.6	3.3342924764	3.1236982315
6.7	3.3377132678	3.1224210149
6.8	3.3411613591	3.1212468333
6.9	3.3446374223	3.1200509716
7	3.348141527	3.118785179
7.1	3.3516715076	3.1176526384
7.2	3.3552287703	3.1164541809
7.3	3.3588119046	3.1153060237
7.4	3.362420891	3.1141703678
7.5	3.3660549904	3.1130866697
7.6	3.3697141846	3.1120216136
7.7	3.3733984923	3.1109298852
7.8	3.3771072143	3.1098490474
7.9	3.3808396114	3.1088270945
8	3.3845956611	3.1078225797
8.1	3.388375382	3.1067905493
8.2	3.3921773076	3.1058648078
8.3	3.3960021378	3.1049177873
8.4	3.3998491631	3.1039919507
8.5	3.4037183979	3.1030435908
8.6	3.4076083674	3.102203317
8.7	3.411519776	3.1013462375
8.8	3.415451907	3.1005137334
8.9	3.4194040088	3.0997486601
9	3.4233768227	3.0989281179
9.1	3.4273688963	3.0981722743
9.2	3.4313802101	3.0974421888
9.3	3.4354100116	3.0967777671
9.4	3.4394582826	3.0961404101
9.5	3.4435250337	3.0954902908
9.6	3.4476095401	3.0948637725
9.7	3.4517110506	3.0942977874
9.8	3.4558295521	3.0937543376
9.9	3.4599642947	3.0932688582
10	3.4641152683	3.0928035616
10.1	3.4682817247	3.0923924257
10.2	3.4724644201	3.0919261711
10.3	3.4766611266	3.0915775422
10.4	3.4808725613	3.0912406593
10.5	3.4850979807	3.0909467718
10.6	3.4893366224	3.090727112
10.7	3.4935892325	3.0904776133
10.8	3.4978543279	3.0902939074
10.9	3.5021318966	3.0901397031
11	3.5064211844	3.0900436349
11.1	3.5107221842	3.0899695738
11.2	3.515034146	3.0899449673
11.3	3.5193563051	3.0899970486
11.4	3.5236894089	3.090027871
11.5	3.5280319664	3.0901247515
11.6	3.5323832048	3.0903135451
11.7	3.5367438652	3.0904988823
11.8	3.5411132098	3.0907051518
11.9	3.5454897258	3.0910156822
12	3.5498741493	3.0913375663
12.1	3.554265735	3.0916940966
12.2	3.5586637265	3.0921083086
12.3	3.5630673568	3.0926029399
12.4	3.567477375	3.093088096
12.5	3.5718922816	3.0936412348
12.6	3.5763113055	3.094284062
12.7	3.5807351928	3.0949290205
12.8	3.5851624385	3.0956510596
12.9	3.5895930315	3.0964175563
13	3.5940269748	3.0971961481
13.1	3.5984627585	3.0980594813
13.2	3.6029003693	3.0989756897
13.3	3.6073398068	3.099913224
13.4	3.6117795573	3.100942589
13.5	3.6162203686	3.101982352
13.6	3.620660731	3.1031017429
13.7	3.6251006346	3.104270309
13.8	3.629540081	3.1054580165
13.9	3.633977557	3.1067322757
14	3.6384130507	3.1080635354
14.1	3.6428465611	3.1094227041
14.2	3.647276572	3.1108755208
14.3	3.6517038326	3.1123466333
14.4	3.6561268301	3.1139008432
14.5	3.6605463178	3.1154643886
14.6	3.6649607857	3.1171012258
14.7	3.669370228	3.1187842841
14.8	3.6737738848	3.1205317377
14.9	3.6781709908	3.122361615
15	3.6825623008	3.124203973
15.1	3.686947066	3.1260772398
15.2	3.691323769	3.1280428933
15.3	3.6956923986	3.1300759922
15.4	3.7000537152	3.1321097656
