perioda	phase	group
1.7	2.9582332611	2.9582164582
1.8	2.9582346962	2.9581995591
1.9	2.9582371458	2.9581722068
2	2.9582414785	2.9581280871
2.1	2.9582493809	2.958064375
2.2	2.9582617783	2.957899233
2.3	2.9582796385	2.9577808544
2.4	2.9583060974	2.9575389504
2.5	2.9583428945	2.9572504058
2.6	2.9583932179	2.9568288594
2.7	2.9584593449	2.9564578339
2.8	2.9585459427	2.955767457
2.9	2.9586548505	2.9551807278
3	2.9587918778	2.9541766286
3.1	2.9589590834	2.9531890075
3.2	2.9591612061	2.9520226257
3.3	2.9594017589	2.9508023019
3.4	2.9596858793	2.9492635906
3.5	2.9600168386	2.9475891924
3.6	2.9603985118	2.9458025537
3.7	2.9608354277	2.9437727151
3.8	2.9613318381	2.9414222317
3.9	2.9618899066	2.939084933
4	2.9625151532	2.9363717709
4.1	2.9632098375	2.9335430389
4.2	2.9639776061	2.9305453638
4.3	2.9648222748	2.9272607318
4.4	2.9657456921	2.9239645739
4.5	2.9667519751	2.9204077812
4.6	2.9678444022	2.9164284973
4.7	2.9690235639	2.9125973057
4.8	2.9702939703	2.9083794133
4.9	2.9716568561	2.9040831023
5	2.9731142507	2.8997611965
5.1	2.9746696209	2.8950612085
5.2	2.976324132	2.8901653317
5.3	2.978078546	2.8854510448
5.4	2.9799367186	2.8802264318
5.5	2.9818985053	2.8750525059
5.6	2.9839657524	2.8698129877
5.7	2.9861405457	2.8642878201
5.8	2.9884230676	2.8588100166
5.9	2.9908152298	2.8531545514
6	2.9933178049	2.8474057341
6.1	2.9959321973	2.8414393195
6.2	2.998658481	2.8354859011
6.3	3.0014979131	2.8294092868
6.4	3.004450439	2.8234277891
6.5	3.0075172314	2.8173707941
6.6	3.0106997199	2.8109851184
6.7	3.0139966241	2.804757393
6.8	3.0174090709	2.7984695013
6.9	3.0209369639	2.7922282596
7	3.0245808454	2.7859350134
7.1	3.0283413914	2.7794440706
7.2	3.0322171679	2.7731518475
7.3	3.036209329	2.766743437
7.4	3.0403171205	2.7603881581
7.5	3.0445403632	2.7540826312
7.6	3.048878893	2.7478017315
7.7	3.0533325828	2.7414973201
7.8	3.057900601	2.7352679186
7.9	3.0625827819	2.7290323348
8	3.0673782889	2.7228570154
8.1	3.0722862235	2.7167997221
8.2	3.0773064014	2.7107264896
8.3	3.0824380141	2.7046382006
8.4	3.0876787292	2.6988650808
8.5	3.093028961	2.6930798712
8.6	3.0984871517	2.6873903522
8.7	3.1040524112	2.6817305915
8.8	3.1097223878	2.6763546786
8.9	3.1154967995	2.671006094
9	3.1213740717	2.6657135714
9.1	3.1273518448	2.6606624069
9.2	3.1334291323	2.6556956604
9.3	3.1396035608	2.6509525049
9.4	3.1458734097	2.6463967329
9.5	3.1522369947	2.641967042
9.6	3.158692686	2.6375518056
9.7	3.1652366557	2.633533121
9.8	3.1718678326	2.6296211772
9.9	3.1785830885	2.6259810519
10	3.185380699	2.6224291158
10.1	3.1922567936	2.619243619
10.2	3.1992095879	2.6162047785
10.3	3.2062359391	2.6133758358
10.4	3.213332661	2.6108021087
10.5	3.2204965396	2.6085093456
10.6	3.2277251102	2.6063437881
10.7	3.23501373	2.6045848915
10.8	3.2423598563	2.6030516004
10.9	3.2497595495	2.6018311688
11	3.2572103414	2.6006980796
11.1	3.2647061007	2.6001311349
11.2	3.272245728	2.5996044412
11.3	3.2798231283	2.5995472112
11.4	3.2874357497	2.599691912
11.5	3.2950789255	2.6001608356
11.6	3.3027479156	2.6010718321
11.7	3.3104402023	2.6021284138
11.8	3.3181503993	2.6035481786
11.9	3.3258745188	2.6052866206
12	3.3336078404	2.6074225721
12.1	3.3413471288	2.6097739966
12.2	3.3490869681	2.612533282
12.3	3.3568233627	2.6156467148
12.4	3.3645523524	2.6190586079
12.5	3.3722700116	2.6227131838
12.6	3.3799709217	2.6268023373
12.7	3.3876518544	2.6311668162
12.8	3.3953081442	2.635888665
12.9	3.4029366122	2.6408239703
13	3.4105318677	2.6461869765
13.1	3.4180907043	2.6518617679
13.2	3.4256099782	2.6577412911
13.3	3.4330843115	2.6640717168
13.4	3.4405120263	2.6705574319
13.5	3.4478885369	2.677357752
13.6	3.4552099481	2.6845434437
13.7	3.462474625	2.6918761199
13.8	3.4696779922	2.6995648123
13.9	3.4768176721	2.7075205458
14	3.4838913299	2.7156721299
14.1	3.4908959007	2.7240730384
14.2	3.4978290617	2.7326940395
14.3	3.5046877416	2.7416302081
14.4	3.5114711217	2.7506905556
14.5	3.5181769367	2.7599056188
14.6	3.5248021465	2.7694289753
14.7	3.5313467049	2.7790358851
14.8	3.537808365	2.7888170499
14.9	3.5441856087	2.7987861002
15	3.550477677	2.8088784899
15.1	3.5566830728	2.8191451907
15.2	3.562801807	2.8294634731
15.3	3.5688316453	2.8400144389
15.4	3.5747741058	2.8505235147
15.5	3.580626986	2.8612013689
15.6	3.5863910632	2.8719025326
15.7	3.5920648745	2.8827742144
15.8	3.5976499607	2.893610385
15.9	3.603145639	2.9044918114
16	3.6085519634	2.9154221354
16.1	3.6138689854	2.9264173293
16.2	3.6190975147	2.9374152482
16.3	3.6242376156	2.9484532192
16.4	3.6292908664	2.9594018218
16.5	3.6342565924	2.9704040403
16.6	3.6391363659	2.9813503173
16.7	3.6439302625	2.9923120316
16.8	3.6486391001	3.0032820272
16.9	3.6532652234	3.0140884801
17	3.6578072061	3.0249905038
17.1	3.6622681306	3.0357463268
17.2	3.6666480883	3.0464544311
17.3	3.6709479066	3.0571345575
17.4	3.6751691698	3.0677274507
17.5	3.6793127123	3.0782596576
17.6	3.6833801232	3.0886788708
17.7	3.6873714768	3.0990982058
17.8	3.6912891082	3.1093902637
17.9	3.6951338548	3.1195903494
18	3.6989073069	3.129655367
18.1	3.7026095369	3.1397024151
18.2	3.706242879	3.1496124076
18.3	3.7098081658	3.1594241106
18.4	3.7133069832	3.1690985967
18.5	3.7167401603	3.1786748216
18.6	3.720108517	3.188191641
18.7	3.7234136267	3.1976108721
18.8	3.7266570695	3.2068940455
18.9	3.7298396688	3.2160781145
19	3.7329630021	3.2251238485
19.1	3.7360278903	3.2340663383
19.2	3.7390359092	3.2428650936
19.3	3.7419871149	3.2516270409
19.4	3.7448838316	3.260236389
19.5	3.7477268778	3.268723314
19.6	3.7505170649	3.2771166212
19.7	3.7532559613	3.2853711775
19.8	3.7559443792	3.2935128501
19.9	3.7585831251	3.3015659854
20	3.7611737634	3.3094820504
20.1	3.7637171027	3.317282292
20.2	3.766213947	3.3249863695
20.3	3.7686650963	3.332612333
20.4	3.7710721096	3.3401068132
20.5	3.7734357908	3.347484733
20.6	3.7757569405	3.3547594239
20.7	3.7780371192	3.3618739291
20.8	3.7802756064	3.3689752553
20.9	3.7824754735	3.3758678944
21	3.7846352424	3.3827621625
21.1	3.7867579814	3.3894615758
21.2	3.7888429714	3.39610446
21.3	3.7908917618	3.4026268242
21.4	3.7929043847	3.4090963143
21.5	3.7948823877	3.4154467727
21.6	3.7968265643	3.4216768225
21.7	3.7987369445	3.4278490403
21.8	3.800615075	3.4338942617
21.9	3.8024617485	3.4398072482
22	3.8042762315	3.4457101661
22.1	3.8060608262	3.4514669029
22.2	3.8078155629	3.4571323617
22.3	3.8095404644	3.4627597762
22.4	3.8112370721	3.4682746084
22.5	3.8129061736	3.4736646131
22.6	3.8145470313	3.479041465
22.7	3.8161619456	3.4842660945
22.8	3.8177501813	3.4894471059
22.9	3.8193132787	3.4945063567
23	3.8208504982	3.4995492625
23.1	3.8223633762	3.5044962852
23.2	3.8238526952	3.5093283872
23.3	3.8253177135	3.5141466266
23.4	3.8267607294	3.5188096134
23.5	3.8281802419	3.5234757585
23.6	3.8295785471	3.5280031288
23.7	3.8309549043	3.5324876009
23.8	3.8323100881	3.5369052051
23.9	3.8336441124	3.5412901854
24	3.8349585132	3.5455586475
24.1	3.8362525462	3.5498015247
24.2	3.8375277461	3.5539341507
24.3	3.8387833674	3.5580451804
24.4	3.840020944	3.5620492718
24.5	3.8412397294	3.566032922
24.6	3.842441257	3.5699102051
24.7	3.8436247797	3.5737655768
24.8	3.844791068	3.57756908
24.9	3.8459408947	3.5812904615
25	3.8470742726	3.5849551736
25.1	3.848191975	3.5885321081
25.2	3.8492932515	3.5921009193
25.3	3.8503788706	3.5956293849
25.4	3.8514496032	3.5990850931
25.5	3.8525062232	3.602435466
25.6	3.8535472183	3.6058114477
25.7	3.8545741163	3.6091248313
25.8	3.8555876894	3.6123419644
25.9	3.856587187	3.6155368457
26	3.8575733778	3.6186749666
26.1	3.8585455072	3.6218286056
26.2	3.8595058663	3.6248560469
26.3	3.8604529432	3.6278815968
26.4	3.8613882675	3.6308167906
26.5	3.8623103239	3.6337839321
26.6	3.8632214017	3.6366419664
26.7	3.8641207501	3.6394594835
26.8	3.8650083753	3.6422520884
26.9	3.865884282	3.6450348824
27	3.866749237	3.6477709751
27.1	3.8676040097	3.6504235492
27.2	3.8684478462	3.6530580569
27.3	3.8692815135	3.6556371773
27.4	3.8701042556	3.658225073
27.5	3.8709176	3.660733469
27.6	3.8717207922	3.6632256317
27.7	3.8725145989	3.6656636956
27.8	3.8732982633	3.6681097423
27.9	3.8740733129	3.670475812
28	3.8748389929	3.6728231877
28.1	3.8755953068	3.6751629366
28.2	3.876343783	3.6774074969
28.3	3.8770829045	3.6796658201
28.4	3.8778134351	3.6818991845
28.5	3.8785361416	3.6840690646
28.6	3.8792502672	3.6862339342
28.7	3.879956577	3.6883550128
28.8	3.880655076	3.6904417712
28.9	3.881345768	3.6925033902
29	3.8820286565	3.6945487681
29.1	3.8827037442	3.696586528
29.2	3.8833725591	3.6985303717
29.3	3.8840328203	3.7005305108
29.4	3.8846868142	3.7024535201
29.5	3.8853337846	3.7043544575
29.6	3.8859744973	3.706194368
29.7	3.8866074316	3.708073964
29.8	3.8872341124	3.70990754
29.9	3.8878545439	3.7117024181
30	3.8884687298	3.7134657037
30.1	3.8890766734	3.7152042918
30.2	3.8896776146	3.7169705134
30.3	3.8902738417	3.7186341006
30.4	3.8908630733	3.7203379396
30.5	3.8914468341	3.7219975015
30.6	3.8920251278	3.723619023
30.7	3.892597195	3.7252534028
30.8	3.8931637988	3.7268615213
30.9	3.8937257048	3.7284045573
31	3.8942813921	3.7299771164
31.1	3.8948323858	3.7314958228
31.2	3.895377927	3.7330102777
31.3	3.8959180169	3.7345255481
31.4	3.8964534195	3.7360027829
31.5	3.8969841378	3.7374470594
31.6	3.8975101745	3.7388633115
31.7	3.8980307692	3.7402996569
31.8	3.8985474475	3.7416740961
31.9	3.8990586878	3.7430775194
32	3.8995660151	3.7444282472
32.1	3.9000686703	3.7457735925
32.2	3.9005666543	3.747117702
32.3	3.9010607311	3.7484221433
32.4	3.9015509035	3.7496911233
32.5	3.902036411	3.7509709133
32.6	3.902517254	3.7522651985
32.7	3.9029949582	3.7534937527
32.8	3.9034687648	3.7547023976
32.9	3.9039379125	3.7559364227
33	3.9044039267	3.7571161109
33.1	3.9048652847	3.7583279295
33.2	3.9053235116	3.759492505
33.3	3.9057778474	3.7606544871
33.4	3.9062290558	3.7617760955
33.5	3.9066763764	3.7629015336
33.6	3.9071198097	3.7640338041
33.7	3.9075608817	3.7650946876
33.8	3.9079973076	3.7662089026
33.9	3.9084313743	3.7672579863
34	3.9088615595	3.7683255431
34.1	3.9092886259	3.7693741129
34.2	3.9097125748	3.7704064964
34.3	3.9101334075	3.7714254202
34.4	3.9105511251	3.7724335383
34.5	3.9109657287	3.773433434
34.6	3.911377982	3.7743881837
34.7	3.9117863616	3.7753791383
34.8	3.9121923924	3.7763300178
34.9	3.9125953135	3.7772824835
35	3.9129958883	3.7781998347
35.1	3.9133933559	3.7791233677
35.2	3.9137877164	3.7800552155
35.3	3.9141797327	3.7809588525
35.4	3.9145694067	3.7818365616
35.5	3.9149567397	3.7826905682
35.6	3.9153409702	3.7835612942
35.7	3.9157220979	3.7844505936
35.8	3.9161016483	3.7852842247
35.9	3.9164788612	3.7861023678
36	3.9168529746	3.7869447799
36.1	3.9172247509	3.7877754314
36.2	3.9175949537	3.7885586144
36.3	3.9179620595	3.7893713233
36.4	3.9183275934	3.7901403724
36.5	3.9186900316	3.7909422235
36.6	3.9190508988	3.7917040415
36.7	3.9194094342	3.7924647405
36.8	3.9197656381	3.7932259172
36.9	3.9201202736	3.7939523192
37	3.9204725797	3.7946824128
37.1	3.9208225563	3.7954176743
37.2	3.9211709666	3.7961230515
37.3	3.9215170489	3.7968365765
37.4	3.9218615664	3.7975233321
37.5	3.9222037572	3.798221068
37.6	3.9225443842	3.7988950028
37.7	3.9228826856	3.7995826097
37.8	3.9232194241	3.8002492438
37.9	3.9235546007	3.8008963383
38	3.9238874536	3.8015609608
38.1	3.9242187451	3.8022086731
38.2	3.9245484762	3.8028408114
38.3	3.9248766477	3.8034586811
38.4	3.9252024974	3.8040988267
38.5	3.9255275506	3.8046919162
38.6	3.9258502834	3.8053095473
38.7	3.926171458	3.8059176988
38.8	3.9264918379	3.8064826511
38.9	3.926809899	3.8070753364
39	3.9271264034	3.8076619429
39.1	3.9274421146	3.8082089581
39.2	3.9277555082	3.808786663
39.3	3.9280673462	3.8093614557
39.4	3.928378392	3.8099000316
39.5	3.928687884	3.8104378161
39.6	3.9289958224	3.8109757678
39.7	3.9293022074	3.8115148226
39.8	3.9296078022	3.8120219524
39.9	3.9299118449	3.8125321209
40	3.9302143357	3.8130461979
40.1	3.9305152747	3.8135650325
40.2	3.9308154247	3.8140558732
40.3	3.9311140239	3.814553237
40.4	3.9314110722	3.8150579121
40.5	3.9317073326	3.8155373548
40.6	3.932002806	3.8159925309
40.7	3.9322959675	3.816490662
40.8	3.9325891045	3.8169330957
40.9	3.9328806934	3.8173868819
41	3.9331707337	3.8178526984
41.1	3.9334599881	3.8182984142
41.2	3.9337476946	3.8187575908
41.3	3.9340353787	3.8191656129
41.4	3.9343207534	3.8196211218
41.5	3.934606106	3.8200271457
41.6	3.9348899125	3.820449419
41.7	3.9351721724	3.8208885069
41.8	3.9354544111	3.8212805534
41.9	3.9357351045	3.8216907465
42	3.936015015	3.8220875689
42.1	3.9362933801	3.8225036891
42.2	3.9365717254	3.8228758496
42.3	3.9368485263	3.8232685251
42.4	3.9371245454	3.8236504684
42.5	3.9373997829	3.8240223347
42.6	3.9376734765	3.8244163204
42.7	3.9379471514	3.8247699044
42.8	3.938219283	3.8251466937
42.9	3.9384913967	3.8254844579
43	3.9387619679	3.8258464641
43.1	3.9390317587	3.8262019326
43.2	3.9393007696	3.8265514299
43.3	3.9395690009	3.8268955111
43.4	3.9398372156	3.8272037887
43.5	3.9401038891	3.8275386966
43.6	3.9403697836	3.8278697847
43.7	3.9406348993	3.8281975632
43.8	3.9408992364	3.8285225316
43.9	3.941162795	3.8288451787
44	3.9414263383	3.8291355052
44.1	3.9416883414	3.8294549762
44.2	3.9419495664	3.8297735322
44.3	3.9422107765	3.8300613658
44.4	3.9424712095	3.8303492863
44.5	3.9427308657	3.8306377237
44.6	3.9429897449	3.8309270986
44.7	3.9432478474	3.831217823
44.8	3.9435051731	3.8315102996
44.9	3.943762485	3.8317751006
45	3.944019021	3.8320425451
45.1	3.9442747811	3.8323130105
45.2	3.9445297652	3.8325868655
45.3	3.9447847364	3.8328349319
45.4	3.9450381694	3.8331166812
45.5	3.9452923522	3.8333440802
45.6	3.9455449976	3.8336058147
45.7	3.9457976305	3.8338435137
45.8	3.9460487258	3.8341160626
45.9	3.9463005715	3.8343362273
46	3.9465508801	3.8345918362
46.1	3.9468011768	3.8348250386
46.2	3.947051462	3.8350363034
46.3	3.9473002106	3.8352837993
46.4	3.9475489476	3.8355100604
46.5	3.9477976736	3.8357155337
46.6	3.9480456261	3.8359293129
46.7	3.9482928052	3.8361516597
46.8	3.9485399734	3.8363543074
46.9	3.9487863685	3.8365661322
47	3.9490319902	3.8367873773
47.1	3.9492776014	3.836989954
47.2	3.9495232025	3.8371742625
47.3	3.9497680311	3.8373688939
47.4	3.9500120869	3.8375740688
47.5	3.9502561328	3.8377619326
47.6	3.9504994062	3.8379608671
47.7	3.9507426699	3.8381431339
47.8	3.9509859243	3.8383090969
47.9	3.9512284069	3.8384869316
48	3.9514701174	3.8386768269
48.1	3.9517118186	3.8388512746
48.2	3.9519535109	3.8390106163
48.3	3.9521944317	3.8391827576
48.4	3.9524353438	3.8393403605
48.5	3.9526754844	3.8395111977
48.6	3.9529156164	3.8396680442
48.7	3.9531549771	3.8398385409
48.8	3.9533950922	3.8399683108
48.9	3.9536336738	3.8401394316
49	3.9538730098	3.8402704552
49.1	3.9541115753	3.8404160055
49.2	3.9543493699	3.8405762175
49.3	3.9545871564	3.8407242563
49.4	3.9548249351	3.8408604051
49.5	3.9550627062	3.8409849422
49.6	3.9552997071	3.8411249322
49.7	3.9555367004	3.8412537589
49.8	3.9557729235	3.8413983621
49.9	3.956009902	3.8415056177
50	3.9562461107	3.8416290534
50.1	3.9564815494	3.8417687707
50.2	3.9567177437	3.8418719785
50.3	3.9569531685	3.841991849
50.4	3.9571885864	3.8421021422
50.5	3.9574232346	3.8422293712
50.6	3.9576578759	3.842347402
50.7	3.9578925104	3.8424564655
50.8	3.9581271383	3.8425567885
50.9	3.9583617599	3.8426485946
51	3.9585956124	3.8427581001
51.1	3.9588294584	3.8428594331
51.2	3.9590632982	3.8429528068
51.3	3.9592971319	3.8430384308
51.4	3.9595301967	3.8431422894
51.5	3.9597632553	3.8432387173
51.6	3.9599963078	3.8433279145
51.7	3.9602293543	3.8434100779
51.8	3.9604623952	3.8434854012
51.9	3.9606946676	3.8435795841
52	3.960926934	3.843667216
52.1	3.9611591947	3.8437484815
52.2	3.9613914497	3.8438235625
52.3	3.9616236993	3.8438926378
52.4	3.9618559435	3.8439558833
52.5	3.9620874196	3.844038666
52.6	3.9623188901	3.8441158749
52.7	3.9625511182	3.844162588
52.8	3.9627825785	3.8442291858
52.9	3.9630140337	3.8442907054
53	3.9632447208	3.8443722427
53.1	3.9634761654	3.8444240476
53.2	3.9637076053	3.8444712459
53.3	3.9639382774	3.8445387739
53.4	3.9641689445	3.844601912
53.5	3.9644003695	3.8446361241
53.6	3.9646310272	3.8446909571
53.7	3.9648616801	3.8447418355
53.8	3.9650923283	3.8447888996
53.9	3.9653229719	3.8448322875
54	3.965552848	3.8448965706
54.1	3.9657834821	3.844932977
54.2	3.9660141119	3.8449661079
54.3	3.9662439745	3.8450203816
54.4	3.9664745954	3.8450473131
54.5	3.9667052121	3.8450713504
54.6	3.9669350618	3.8451167605
54.7	3.9671649071	3.8451594382
54.8	3.967395511	3.8451754546
54.9	3.967625348	3.8452130568
55	3.9678551808	3.8452482781
55.1	3.9680857724	3.8452573258
55.2	3.9683155973	3.8452881566
